id,title,score,type,eps,year
ap_321,Time of Eve,4.1,Web,6,2008 - 2009
ap_322,Yu Yu Hakusho,4.1,TV,112,1992 - 1994
ap_323,Kimi ni Todoke - From Me To You,4.1,TV,25,2009 - 2010
ap_324,Ghost in the Shell: Stand Alone Complex - The Laughing Man,4.1,Movie,1 ep,2005
ap_325,Fate/stay night: Unlimited Blade Works Prologue,4.1,TV Special,1 ep,2014
ap_326,Terror in Resonance,4.1,TV,11,2014
ap_327,Legend of the Galactic Heroes: Die Neue These Second 1,4.1,Movie,1 ep,2019
ap_328,Classroom of the Elite 3rd Season,4.1,TV,13,2024
ap_329,Clannad,4.1,TV,23,2007 - 2008
ap_330,Ghost in the Shell: Stand Alone Complex - Solid State Society,4.1,Movie,1 ep,2006
ap_331,The King's Avatar,4.1,Web,12,2017
ap_332,One Piece 3D2Y: Overcoming Ace's Death! Luffy's Pledge to His Friends!,4.1,TV Special,1 ep,2014
ap_333,Legend of the Galactic Heroes: Die Neue These Third 1,4.1,Movie,1 ep,2022
ap_334,Legend of Exorcism 2nd Season,4.1,Web,13,2021
ap_335,Beyond the Boundary Movie: I'll Be Here - Future,4.1,Movie,1 ep,2015
ap_336,Spice and Wolf,4.1,TV,13,2008
ap_337,Romantic Killer,4.1,Web,12,2022
ap_338,The Seven Deadly Sins: Revival of the Commandments,4.1,TV,24,2018
ap_339,Wan Sheng Jie 2,4.1,Web,12,2020
ap_340,Durarara!!,4.1,TV,24,2010
ap_341,Sound! Euphonium 2,4.1,TV,13,2016
ap_342,Durarara!! X2 The Third Arc,4.1,TV,12,2016
ap_343,Full Metal Panic! The Second Raid,4.1,TV,13,2005
ap_344,Ya Boy Kongming!,4.1,TV,12,2022
ap_345,Scissor Seven 4th Season,4.1,Web,10,2023
ap_346,A Certain Scientific Railgun S,4.1,TV,24,2013
ap_347,Log Horizon,4.1,TV,25,2013 - 2014
ap_348,One Piece: Episode of Sabo,4.1,TV Special,1 ep,2015
ap_349,Detective Conan Movie 8: Magician of the Silver Sky,4.1,Movie,1 ep,2004
ap_350,Castlevania,4.1,Web,4,2017
ap_351,Major: Message,4.1,OVA,1 ep,2010
ap_352,Junjou Romantica 2,4.1,TV,12,2008
ap_353,The Land of Miracles 3rd Season,4.1,Web,15,2023
ap_354,Shadows House 2nd Season,4.1,TV,12,2022
ap_355,Rascal Does Not Dream of a Knapsack Kid,4.1,Movie,1 ep,2023
ap_356,"The Garden of Sinners Movie 3: Ever Cry, Never Life. (Remaining Sense of Pain)",4.1,Movie,1 ep,2008
ap_357,No Doubt In Us: Part II,4.1,Web,12,2021
ap_358,Detective Conan Movie 5: Countdown to Heaven,4.1,Movie,1 ep,2001
ap_359,When Marnie Was There,4.1,Movie,1 ep,2014
ap_360,GATE (2016),4.1,TV,12,2016
ap_361,Minami: Kawaki wo Ameku,4.1,Music Video,1 ep,2019
ap_362,Fights Break Sphere 3rd Season,4.1,Web,12,2019
ap_363,"Welcome to Demon School, Iruma-kun 3",4.1,TV,21,2022 - 2023
ap_364,Fanren Xiu Xian Chuan: Xing Hai Fei Chi,4.1,Web,4,2023
ap_365,Uma Musume: Pretty Derby - Shinjidai no Tobira,4.1,Movie,1 ep,2024
ap_366,The Last: Naruto the Movie,4.1,Movie,1 ep,2014
ap_367,Bakuman.,4.1,TV,25,2010 - 2011
ap_368,One Piece Film: Red,4.1,Movie,1 ep,2022
ap_369,Black Lagoon: Roberta's Blood Trail,4.1,OVA,5,2010 - 2011
ap_370,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,4.1,TV Special,1 ep,2012
ap_371,Steins;Gate: The Missing Link - Divide By Zero,4.1,DVD Special,1 ep,2015
ap_372,Daily Lives of High School Boys,4.1,TV,12,2012
ap_373,High☆Speed! Free! Starting Days,4.1,Movie,1 ep,2015
ap_374,Nura: Rise of the Youkai Clan - Demon Capital,4.1,TV,24,2011
ap_375,Jade Dynasty 3rd Season,4.1,Web,26,2025
ap_376,Patema Inverted,4.1,Movie,1 ep,2013
ap_377,Non Non Biyori Repeat,4.1,TV,12,2015
ap_378,The Land of Miracles,4.1,Web,15,2022
ap_379,Lupin III: Part V,4.1,TV,24,2018
ap_380,ReLIFE,4.1,Web,13,2016
ap_381,Mobile Suit Gundam 00,4.1,TV,25,2007 - 2008
ap_382,Magi: The Labyrinth of Magic,4.1,TV,25,2012 - 2013
ap_383,Free! Eternal Summer: Forbidden All Hard!,4.1,DVD Special,1 ep,2015
ap_384,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,4.1,TV,11,2022
ap_385,One-Punch Man 2,4.1,TV,12,2019
ap_386,My Hero Academia Final Season,4.5,TV,11,2025
ap_387,Demon Slayer: Kimetsu no Yaiba,4.5,TV,26,2019
ap_388,Gintama': Enchousen,4.4,TV,13,2012 - 2013
ap_389,Jujutsu Kaisen Season 2,4.4,TV,23,2023
ap_390,Gintama Kanketsu-hen: Yorozuya yo Eien Nare,4.4,Movie,1 ep,2013
ap_391,Mob Psycho 100 II,4.4,TV,13,2019
ap_392,That Time I Got Reincarnated as a Slime Season 2,4.4,TV,12,2021
ap_393,Gintama°,4.4,TV,51,2015 - 2016
ap_394,Spirited Away,4.4,Movie,1 ep,2001
ap_395,Gintama: Shirogane no Tamashii-hen 2,4.4,TV,14,2018
ap_396,Jujutsu Kaisen: The Culling Game,4.4,TV,6+,2026 - ?
ap_397,Attack on Titan The Final Season: Part II,4.4,TV,12,2022
